,title,recommend,clicks,download,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,emotion
20,4. Keyboard Concerto No. 5 in F Minor BWV 1056 - Largo_ 키보드 협주곡 제 5번 F단조 BWV 1056. 제2악장 라르고_ballad,22,5901,1794,명상,기타(GUITAR),EMOTIONAL,매우느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,우울
21,5. Keyboard Concerto No. 5 in F Minor BWV 1056 - Largo_ 키보드 협주곡 제 5번 F단조 BWV 1056. 제2악장 라르고_swing,17,5457,2042,CHIC,세련,보통빠르기로,기타(GUITAR),Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,미분류
22,6. Keyboard Concerto No. 5 in F Minor BWV 1056 - Largo_ 키보드 협주곡 제 5번 F단조 BWV 1056. 제2악장 라르고_samba,51,11234,3272,CHIC,세련,조금빠르게,기타(GUITAR),Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),samba,,,,미분류
23,10. The Swan(Le Cygne)_ 백조_slow swing,28,7410,2656,BRIGHT,밝은,보통빠르기로,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),slow swing,,,,,미분류
24,"8. Prelude, op.28-15(Rain Drop)_ 쇼팽 : 전주곡 15번 내림 라장조 작품번호 28-15 '빗방울'_medium swing",51,8544,3074,상큼,FRESH,보통빠르기로,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),medium swing,,,,,미분류
25,"9. Prelude, op.28-15(Rain Drop)_ 쇼팽 : 전주곡 15번 내림 라장조 작품번호 28-15 '빗방울'_ballad",12,4227,950,CHIC,세련,느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,,우울
26,3. Frolicher Landmann_ 행복한 농부_bossa nova,49,9028,3611,BRIGHT,밝은,보통빠르기로,기타(GUITAR),Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,미분류
27,28. Salut D'amour In E Major Op.12_ 사랑의 인사 마장조 작품번호 12_latin,8,3475,1121,경쾌,ENERGETIC,보통빠르기로,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),latin,,,,,미분류
28,2. Frolicher Landmann_ 행복한 농부_ragtime,28,6296,2629,경쾌,ENERGETIC,빠르게,기타(GUITAR),Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ragtime,,,,기쁨
29,27. Kinderszenen Op.15 - VII. Traumerei_ 어린이의 정경 중 꿈 작품번호 15_ballad,16,4349,1502,명상,EMOTIONAL,매우느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,,우울
30,"97. Symphony No. 5 in Cminor, Op.67_ 교향곡 제5번 다단조 [운명] OP.67_string",2,2004,562,DARK,빠르게,오케스트라(ORCHESTRA),재분류,string,어두운,,,,,,,기쁨
31,11. The Swan(Le Cygne)_ 백조_fast swing,13,4180,1401,경쾌,ENERGETIC,빠르게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),fast swing,,,,,기쁨
32,91. Fur Elise_ 엘리제를 위하여_국악,15,4194,1022,국악,WHITE,깔끔함,보통빠르기로,피아노(PIANO),재분류,대금(DAEGEUM),첼로(CELLO),,,,,미분류
33,"92. Minuet in G major, BWV Anh. 114_ 미뉴에트_국악",6,2462,722,감성,국악,보통빠르기로,EMOTIONAL,피아노(PIANO),재분류,양금(YANGGEUM),,,,,,미분류
34,93. Symphony No.25 in Gminor K183_ 교향곡 제 25번 G단조 K183_string,2,1867,520,POWERFUL,조금빠르게,오케스트라(ORCHESTRA),재분류,string,강력한,,,,,,,미분류
35,94. Carmen Prelude_ 카르멘 서곡_string,23,7064,1727,MAGNIFICIENT,빠르게,오케스트라(ORCHESTRA),재분류,string,웅장한,,,,,,,기쁨
36,"95. Orchestral Suite NO. 1 in C major, BWV 1066 Overture_ 바흐 관현악 모음곡 제 1번 C장조 BWV 1066_string",2,2206,622,BRIGHT,밝은,보통빠르기로,오케스트라(ORCHESTRA),재분류,string,,,,,,,미분류
37,"96. Invention No.4 in D minor, BWV 775_ 인벤션 4번 라단조_string",2,2502,594,보통빠르기로,관악기(BRASS&WOODWIND),스트링(STRING),SAD,슬픈,재분류,string,,,,,,미분류
38,1. Frolicher Landmann_ 행복한 농부_swing,41,10113,3938,BRIGHT,밝은,보통빠르기로,기타(GUITAR),Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,미분류
39,12. The Swan(Le Cygne)_ 백조_ballad,9,3345,1001,미스터리,MYSTERY,느리게,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),ballad,,,,,우울
40,22. Minuet In G Major BWV Anh. II 114_ 미뉴에트 사장조 BWV Anh. II 114_waltz,10,4398,1361,WHITE,깔끔함,보통빠르기로,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),waltz,,,,,미분류
41,14. Sarabande_ 사라방드_bossa nova,14,4100,1219,보통빠르기로,기타(GUITAR),SAD,슬픈,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,미분류
42,26. Kinderszenen Op.15 - VII. Traumerei_ 어린이의 정경 중 꿈 작품번호 15_bossa nova,7,3370,1186,WHITE,깔끔함,보통빠르기로,Jazz,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),bossa nova,,,,,미분류
43,98. Piano Sonata No.1 C Major K279_ 피아노 소나타 1번 다장조 K279_string,4,2845,655,BRIGHT,밝은,조금빠르게,관악기(BRASS&WOODWIND),스트링(STRING),재분류,string,,,,,,미분류
44,25. Kinderszenen Op.15 - VII. Traumerei_ 어린이의 정경 중 꿈 작품번호 15_swing,27,5894,2510,BRIGHT,밝은,보통빠르기로,Jazz,swing,드럼(DRUM),피아노(PIANO),콘트라베이스(CONTRABASS),,,,,미분류
45,99. Piano Sonata No.5 G Major K283_ 피아노 소나타 제5번 사장조 K283_string,18,5685,1395,드라마,DRAMA,보통빠르기로,관악기(BRASS&WOODWIND),스트링(STRING),재분류,string,,,,,,미분류
46,101. Serenade No.13 in G Major K525 'Eine Kleins Nachtmusik'_ 세레나데 제 13번 사장조 '아이네 클라이네 나흐트 무지크'_string,6,2684,654,BRIGHT,밝은,빠르게,오케스트라(ORCHESTRA),재분류,string,,,,,,,기쁨
47,102. Symphony No. 8 in B minor. D759 'Unfinished'_ 교향곡 8번 나단조 D759 '미완성'_string,1,1928,450,DARK,빠르게,오케스트라(ORCHESTRA),재분류,string,어두운,,,,,,,기쁨
48,100. Piano Concerto No.21 in C Major K467_ 피아노 협주곡 제 21번 다장조 K467_string,1,1987,474,POWERFUL,오케스트라(ORCHESTRA),재분류,string,강력한,조금 빠르게,,,,,,,미분류
